Sex,Year,Age group,Mean height,Mean height lower 95% uncertainty interval,Mean height upper 95% uncertainty interval,Mean height standard error
Girls,1985,12,145.797559132663,145.536313793003,146.056137963998,0.131973917740671
Girls,1986,12,145.822902464616,145.571653269231,146.068954050297,0.126968880376125
Girls,1987,12,145.836666985869,145.594923975263,146.078006428784,0.122385041374247
Girls,1988,12,145.842281709152,145.609921766212,146.07270127961,0.118209205405244
Girls,1989,12,145.844328939922,145.617697235222,146.068598726187,0.114863299553893
Girls,1990,12,145.851051047618,145.630883227645,146.07061862793,0.11200947434863
Girls,1991,12,145.865753868165,145.648874211604,146.081128973645,0.109363453755355
Girls,1992,12,145.891732799553,145.681811237111,146.103258220189,0.107213908655914
Girls,1993,12,145.927986901432,145.723068612564,146.13357050739,0.105083099295438
Girls,1994,12,145.971443607889,145.771526222008,146.171783431452,0.103321698532111
Girls,1995,12,146.018989865198,145.820848491576,146.217415094223,0.101652319583186
Girls,1996,12,146.073639986511,145.880078300705,146.266950754675,0.100067023121808
Girls,1997,12,146.139547934716,145.948670200838,146.330912120945,0.0986357244608931
Girls,1998,12,146.216257879797,146.027514767387,146.403956267109,0.0972457389303171
Girls,1999,12,146.299316291265,146.110329427844,146.488543630301,0.0960601014260421
Girls,2000,12,146.386237614599,146.200723238251,146.573340748197,0.0952857003323843
Girls,2001,12,146.473397497814,146.28815631531,146.660920988353,0.0945183170769935
Girls,2002,12,146.561456016074,146.379490863615,146.745355073864,0.0939735133972929
Girls,2003,12,146.652355055356,146.469911079066,146.833435964755,0.0936733645593463
Girls,2004,12,146.745893495214,146.560805231918,146.926340209689,0.0936950467644486
Girls,2005,12,146.838699403874,146.653948655296,147.02010234178,0.0938238765583486
Girls,2006,12,146.925948995421,146.740053763868,147.106132880643,0.0942302471893212
Girls,2007,12,147.005398373892,146.818004762252,147.186989765943,0.0948542991499517
Girls,2008,12,147.081332388805,146.894651127041,147.267254003644,0.0959433690768282
Girls,2009,12,147.162418888502,146.974245257787,147.35217025296,0.0971140481891195
Girls,2010,12,147.256508754907,147.062571212868,147.446139425112,0.0985467161394041
Girls,2011,12,147.368783905839,147.169854141153,147.563390793355,0.0999568097169594
Girls,2012,12,147.502644212943,147.298625048987,147.701478004207,0.102041738710128
Girls,2013,12,147.655651179564,147.445413137677,147.861905796597,0.105474083945612
Girls,2014,12,147.82434568171,147.60738867422,148.042276743476,0.110117528150369
Girls,2015,12,148.000049299965,147.769328004119,148.232518412198,0.115974388099924
Girls,2016,12,148.179140057608,147.937571816765,148.420860660191,0.123076542023413
Girls,2017,12,148.360381774794,148.102650768388,148.621815072127,0.131614319601342
Girls,2018,12,148.539255131339,148.2621064072,148.814373999859,0.141274092995302
Girls,2019,12,148.711637208893,148.415857334142,149.009008374695,0.152607053750182
